variable,level,size
bc_a1_SRF,orig,130195620
bc_a1_SRF,br_1,22855398
bc_a1_SRF,br_2,27525576
bc_a1_SRF,br_3,32522089
bc_a1_SRF,br_4,37595313
bc_a1_SRF,br_5,41784113
bc_a1_SRF,br_6,45392080
bc_a1_SRF,br_7,51131718
bc_a1_SRF,br_8,60336817
bc_a1_SRF,br_9,65746514
bc_a1_SRF,br_10,68899191
bc_a1_SRF,br_11,73870758
bc_a1_SRF,br_12,78491286
bc_a1_SRF,br_13,81906566
bc_a1_SRF,br_14,86939577
bc_a1_SRF,br_15,91319040
bc_a1_SRF,br_16,100954946
bc_a1_SRF,br_17,104999126
bc_a1_SRF,br_18,109596549
bc_a1_SRF,br_19,114408135
bc_a1_SRF,br_20,118548757
bc_a1_SRF,br_21,122247966
bc_a1_SRF,br_22,126126315
bc_a1_SRF,orig,130195620
bc_a1_SRF,br_1,22855398
bc_a1_SRF,br_2,27525576
bc_a1_SRF,br_3,32522089
bc_a1_SRF,br_4,37595313
bc_a1_SRF,br_5 ,41784113
bc_a1_SRF,br_6,45392080
bc_a1_SRF,br_7,51131718
bc_a1_SRF,br_8,60336817
bc_a1_SRF,br_9,65746514
bc_a1_SRF,br_10,68899191
bc_a1_SRF,br_11,73870758
bc_a1_SRF,br_12,78491286
bc_a1_SRF,br_13,81906566
bc_a1_SRF,br_14,86939577
bc_a1_SRF,br_15,91319040
bc_a1_SRF,br_16,100954946
bc_a1_SRF,br_17,104999126
bc_a1_SRF,br_18,109596549
bc_a1_SRF,br_19,114408135
bc_a1_SRF,br_20,118548757
bc_a1_SRF,br_21,122247966
bc_a1_SRF,br_22,126126315
dst_a1_SRF,orig,130490360
dst_a1_SRF,br_1,23131228
dst_a1_SRF,br_2,27830812
dst_a1_SRF,br_3,32782224
dst_a1_SRF,br_4,37825541
dst_a1_SRF,br_5,42030396
dst_a1_SRF,br_6,45659570
dst_a1_SRF,br_7,51406799
dst_a1_SRF,br_8,60609356
dst_a1_SRF,br_9,66023010
dst_a1_SRF,br_10,69172822
dst_a1_SRF,br_11,74144567
dst_a1_SRF,br_12,78777603
dst_a1_SRF,br_13,82184535
dst_a1_SRF,br_14,87216266
dst_a1_SRF,br_15,91584396
dst_a1_SRF,br_16,101242801
dst_a1_SRF,br_17,105275566
dst_a1_SRF,br_18,109887994
dst_a1_SRF,br_19,114700772
dst_a1_SRF,br_20,118828062
dst_a1_SRF,br_21,122536552
dst_a1_SRF,br_22,126413871
dst_a3_SRF,orig,130585375
dst_a3_SRF,br_1,23236118
dst_a3_SRF,br_2,27943978
dst_a3_SRF,br_3,32873886
dst_a3_SRF,br_4,37921023
dst_a3_SRF,br_5,42142112
dst_a3_SRF,br_6,45784520
dst_a3_SRF,br_7,51513664
dst_a3_SRF,br_8,60707629
dst_a3_SRF,br_9,66128002
dst_a3_SRF,br_10,69267672
dst_a3_SRF,br_11,74236705
dst_a3_SRF,br_12,78878857
dst_a3_SRF,br_13,82282871
dst_a3_SRF,br_14,87313598
dst_a3_SRF,br_15,91676928
dst_a3_SRF,br_16,101341133
dst_a3_SRF,br_17,105368550
dst_a3_SRF,br_18,109982378
dst_a3_SRF,br_19,114795674
dst_a3_SRF,br_20,118913570
dst_a3_SRF,br_21,122629360
dst_a3_SRF,br_22,126503775
FLNS,orig,126786118
FLNS,br_1,17063129
FLNS,br_2,20822215
FLNS,br_3,25463545
FLNS,br_4,30732221
FLNS,br_5,35143640
FLNS,br_6,41207416
FLNS,br_7,46142592
FLNS,br_8,56240411
FLNS,br_9,60791929
FLNS,br_10,64718164
FLNS,br_11,69207380
FLNS,br_12,73744584
FLNS,br_13,77022664
FLNS,br_14,82230574
FLNS,br_15,86740034
FLNS,br_16,96336972
FLNS,br_17,101212460
FLNS,br_18,105035696
FLNS,br_19,109881291
FLNS,br_20,114262349
FLNS,br_21,117724422
FLNS,br_22,122579642
FLNSC,orig,115992914
FLNSC,br_1,8512186
FLNSC,br_2,11163030
FLNSC,br_3,14360766
FLNSC,br_4,18301033
FLNSC,br_5,23125094
FLNSC,br_6,28991171
FLNSC,br_7,35624657
FLNSC,br_8,45476949
FLNSC,br_9,49822289
FLNSC,br_10,54011738
FLNSC,br_11,58645244
FLNSC,br_12,63055394
FLNSC,br_13,66522438
FLNSC,br_14,71418668
FLNSC,br_15,75952480
FLNSC,br_16,85678124
FLNSC,br_17,90277042
FLNSC,br_18,94362756
FLNSC,br_19,99163177
FLNSC,br_20,103463441
FLNSC,br_21,106953077
FLNSC,br_22,111664269
FLUT,orig,110063996
FLUT,br_1,5241025
FLUT,br_2,7996450
FLUT,br_3,10692029
FLUT,br_4,14262735
FLUT,br_5,18553183
FLUT,br_6,23553135
FLUT,br_7,29820069
FLUT,br_8,39157842
FLUT,br_9,43764764
FLUT,br_10,47765595
FLUT,br_11,52525419
FLUT,br_12,57181034
FLUT,br_13,60768869
FLUT,br_14,65546584
FLUT,br_15,70077646
FLUT,br_16,79999740
FLUT,br_17,84373273
FLUT,br_18,88693910
FLUT,br_19,93526498
FLUT,br_20,97577691
FLUT,br_21,101135257
FLUT,br_22,105752957
FSNS,orig,115138403
FSNS,br_1,14353922
FSNS,br_2,17958292
FSNS,br_3,21994456
FSNS,br_4,26944988
FSNS,br_5,31969317
FSNS,br_6,36581090
FSNS,br_7,41554635
FSNS,br_8,51065491
FSNS,br_9,54460120
FSNS,br_10,58945533
FSNS,br_11,63322299
FSNS,br_12,67148588
FSNS,br_13,70538503
FSNS,br_14,74137015
FSNS,br_15,78352197
FSNS,br_16,87667586
FSNS,br_17,91279563
FSNS,br_18,95655222
FSNS,br_19,100040872
FSNS,br_20,103934575
FSNS,br_21,107233590
FSNS,br_22,110962844
FSNSC,orig,101551560
FSNSC,br_1,5802132
FSNSC,br_2,7845472
FSNSC,br_3,10422361
FSNSC,br_4,13739032
FSNSC,br_5,17748014
FSNSC,br_6,22529489
FSNSC,br_7,28127629
FSNSC,br_8,37138825
FSNSC,br_9,40742877
FSNSC,br_10,45015932
FSNSC,br_11,49419773
FSNSC,br_12,53528803
FSNSC,br_13,56870960
FSNSC,br_14,60654831
FSNSC,br_15,64895740
FSNSC,br_16,74186965
FSNSC,br_17,77760183
FSNSC,br_18,82275925
FSNSC,br_19,86632822
FSNSC,br_20,90439506
FSNSC,br_21,93836912
FSNSC,br_22,97395949
FSNTOA,orig,109931242
FSNTOA,br_1,9252415
FSNTOA,br_2,12350083
FSNTOA,br_3,15904526
FSNTOA,br_4,20254208
FSNTOA,br_5,25423351
FSNTOA,br_6,30915629
FSNTOA,br_7,36506925
FSNTOA,br_8,45535775
FSNTOA,br_9,49355240
FSNTOA,br_10,53544298
FSNTOA,br_11,57821986
FSNTOA,br_12,61829841
FSNTOA,br_13,65194038
FSNTOA,br_14,68915694
FSNTOA,br_15,73170142
FSNTOA,br_16,82413062
FSNTOA,br_17,86166432
FSNTOA,br_18,90593953
FSNTOA,br_19,94857830
FSNTOA,br_20,98601037
FSNTOA,br_21,102049831
FSNTOA,br_22,105709177
ICEFRAC,orig,24115425
ICEFRAC,br_1,5085773
ICEFRAC,br_2,5590694
ICEFRAC,br_3,6115527
ICEFRAC,br_4,6695131
ICEFRAC,br_5,7383452
ICEFRAC,br_6,8138312
ICEFRAC,br_7,8959673
ICEFRAC,br_8,11328751
ICEFRAC,br_9,12287287
ICEFRAC,br_10,13118803
ICEFRAC,br_11,13978617
ICEFRAC,br_12,14702169
ICEFRAC,br_13,15301485
ICEFRAC,br_14,15886258
ICEFRAC,br_15,16348038
ICEFRAC,br_16,19160220
ICEFRAC,br_17,20256138
ICEFRAC,br_18,21144772
ICEFRAC,br_19,22014365
ICEFRAC,br_20,22596452
ICEFRAC,br_21,23190636
ICEFRAC,br_22,23740908
LHFLX,orig,130490587
LHFLX,br_1,21965234
LHFLX,br_2,26166738
LHFLX,br_3,30722033
LHFLX,br_4,35822086
LHFLX,br_5,39840645
LHFLX,br_6,45384095
LHFLX,br_7,50557515
LHFLX,br_8,60059138
LHFLX,br_9,65336654
LHFLX,br_10,68553234
LHFLX,br_11,73365980
LHFLX,br_12,78203028
LHFLX,br_13,81452702
LHFLX,br_14,86727109
LHFLX,br_15,91189079
LHFLX,br_16,100783757
LHFLX,br_17,105168850
LHFLX,br_18,109484773
LHFLX,br_19,114333949
LHFLX,br_20,118694357
LHFLX,br_21,122187281
LHFLX,br_22,126422881
pom_a1_SRF,orig,130248448
pom_a1_SRF,br_1,22920663
pom_a1_SRF,br_2,27594980
pom_a1_SRF,br_3,32585879
pom_a1_SRF,br_4,37647719
pom_a1_SRF,br_5,41845649
pom_a1_SRF,br_6,45457596
pom_a1_SRF,br_7,51185280
pom_a1_SRF,br_8,60389122
pom_a1_SRF,br_9,65802314
pom_a1_SRF,br_10,68952309
pom_a1_SRF,br_11,73924516
pom_a1_SRF,br_12,78546131
pom_a1_SRF,br_13,81959755
pom_a1_SRF,br_14,86992003
pom_a1_SRF,br_15,91372027
pom_a1_SRF,br_16,101010597
pom_a1_SRF,br_17,105052673
pom_a1_SRF,br_18,109653334
pom_a1_SRF,br_19,114467498
pom_a1_SRF,br_20,118608471
pom_a1_SRF,br_21,122302761
pom_a1_SRF,br_22,126180330
PRECL,orig,135276455
PRECL,br_1,29249350
PRECL,br_2,33831691
PRECL,br_3,38706813
PRECL,br_4,43228795
PRECL,br_5,47273002
PRECL,br_6,51709038
PRECL,br_7,56693242
PRECL,br_8,65872092
PRECL,br_9,71008475
PRECL,br_10,74358486
PRECL,br_11,79331155
PRECL,br_12,83836918
PRECL,br_13,87355128
PRECL,br_14,91951579
PRECL,br_15,96358355
PRECL,br_16,106194795
PRECL,br_17,110037138
PRECL,br_18,114796849
PRECL,br_19,119527399
PRECL,br_20,123400346
PRECL,br_21,127254321
PRECL,br_22,131080058
PRECSC,orig,8239280
PRECSC,br_1,3703812
PRECSC,br_2,3902281
PRECSC,br_3,4065482
PRECSC,br_4,4213092
PRECSC,br_5,4386844
PRECSC,br_6,4534510
PRECSC,br_7,4660835
PRECSC,br_8,5391896
PRECSC,br_9,5737229
PRECSC,br_10,5957714
PRECSC,br_11,6107768
PRECSC,br_12,6237279
PRECSC,br_13,6343553
PRECSC,br_14,6424308
PRECSC,br_15,6469758
PRECSC,br_16,7211067
PRECSC,br_17,7558843
PRECSC,br_18,7770899
PRECSC,br_19,7936925
PRECSC,br_20,8055128
PRECSC,br_21,8148724
PRECSC,br_22,8207790
PRECSL,orig,102234476
PRECSL,br_1,26891891
PRECSL,br_2,30099900
PRECSL,br_3,33608327
PRECSL,br_4,36958261
PRECSL,br_5,38817708
PRECSL,br_6,42177609
PRECSL,br_7,45333620
PRECSL,br_8,53997205
PRECSL,br_9,56631067
PRECSL,br_10,60486253
PRECSL,br_11,64007593
PRECSL,br_12,66751527
PRECSL,br_13,68314197
PRECSL,br_14,71146029
PRECSL,br_15,73937083
PRECSL,br_16,82419692
PRECSL,br_17,85385169
PRECSL,br_18,88725599
PRECSL,br_19,92200486
PRECSL,br_20,95213941
PRECSL,br_21,96826526
PRECSL,br_22,99490283
PRECT,orig,133454667
PRECT,br_1,27162774
PRECT,br_2,31818596
PRECT,br_3,36764782
PRECT,br_4,41474227
PRECT,br_5,45626722
PRECT,br_6,49610679
PRECT,br_7,54724511
PRECT,br_8,63958767
PRECT,br_9,69111347
PRECT,br_10,72447994
PRECT,br_11,77402103
PRECT,br_12,81864507
PRECT,br_13,85364166
PRECT,br_14,90050832
PRECT,br_15,94450751
PRECT,br_16,104241940
PRECT,br_17,108207780
PRECT,br_18,112844426
PRECT,br_19,117605634
PRECT,br_20,121494960
PRECT,br_21,125354355
PRECT,br_22,129250298
PRECTMX,orig,133454667
PRECTMX,br_1,27162774
PRECTMX,br_2,31818596
PRECTMX,br_3,36764782
PRECTMX,br_4,41474227
PRECTMX,br_5,45626722
PRECTMX,br_6,49610679
PRECTMX,br_7,54724511
PRECTMX,br_8,63958767
PRECTMX,br_9,69111347
PRECTMX,br_10,72447994
PRECTMX,br_11,77402103
PRECTMX,br_12,81864507
PRECTMX,br_13,85364166
PRECTMX,br_14,90050832
PRECTMX,br_15,94450751
PRECTMX,br_16,104241940
PRECTMX,br_17,108207780
PRECTMX,br_18,112844426
PRECTMX,br_19,117605634
PRECTMX,br_20,121494960
PRECTMX,br_21,125354355
PRECTMX,br_22,129250298
PSL,orig,87659258
PSL,br_1,1464394
PSL,br_2,1464595
PSL,br_3,2350572
PSL,br_4,2401899
PSL,br_5,4067859
PSL,br_6,5571301
PSL,br_7,7873785
PSL,br_8,15085853
PSL,br_9,18482769
PSL,br_10,21614795
PSL,br_11,25260799
PSL,br_12,30352107
PSL,br_13,36416524
PSL,br_14,42109264
PSL,br_15,47275810
PSL,br_16,57840362
PSL,br_17,61950142
PSL,br_18,66447038
PSL,br_19,70909239
PSL,br_20,74389750
PSL,br_21,77996210
PSL,br_22,83195059
Q200,orig,119652802
Q200,br_1,12296436
Q200,br_2,15518162
Q200,br_3,18814300
Q200,br_4,22774490
Q200,br_5,27602025
Q200,br_6,34036494
Q200,br_7,40728173
Q200,br_8,50087343
Q200,br_9,54946727
Q200,br_10,58610382
Q200,br_11,63336087
Q200,br_12,67780356
Q200,br_13,71464207
Q200,br_14,76218747
Q200,br_15,80663149
Q200,br_16,90316786
Q200,br_17,94148371
Q200,br_18,98928459
Q200,br_19,103688730
Q200,br_20,107802525
Q200,br_21,111484708
Q200,br_22,115282615
Q500,orig,124718467
Q500,br_1,15931437
Q500,br_2,19204116
Q500,br_3,22760422
Q500,br_4,27186121
Q500,br_5,33142120
Q500,br_6,38458128
Q500,br_7,44944147
Q500,br_8,55201364
Q500,br_9,58810873
Q500,br_10,63736731
Q500,br_11,68470978
Q500,br_12,72106049
Q500,br_13,76145254
Q500,br_14,80043653
Q500,br_15,84566201
Q500,br_16,94147784
Q500,br_17,99088257
Q500,br_18,102696165
Q500,br_19,107251097
Q500,br_20,111721047
Q500,br_21,115243626
Q500,br_22,120291941
Q850,orig,121493883
Q850,br_1,12364173
Q850,br_2,15992632
Q850,br_3,19597952
Q850,br_4,23454373
Q850,br_5,29214188
Q850,br_6,35275724
Q850,br_7,42348885
Q850,br_8,52053581
Q850,br_9,56522740
Q850,br_10,60572956
Q850,br_11,65328975
Q850,br_12,69517917
Q850,br_13,73143499
Q850,br_14,77575096
Q850,br_15,81656953
Q850,br_16,91942286
Q850,br_17,95794250
Q850,br_18,100556622
Q850,br_19,105306034
Q850,br_20,108774826
Q850,br_21,112933947
Q850,br_22,117033085
QBOT,orig,119481295
QBOT,br_1,10780339
QBOT,br_2,14391005
QBOT,br_3,17842471
QBOT,br_4,22099268
QBOT,br_5,27342573
QBOT,br_6,33677455
QBOT,br_7,40446229
QBOT,br_8,50111045
QBOT,br_9,54711918
QBOT,br_10,58627131
QBOT,br_11,63429730
QBOT,br_12,67621961
QBOT,br_13,71256170
QBOT,br_14,75883448
QBOT,br_15,80318287
QBOT,br_16,90046323
QBOT,br_17,93759095
QBOT,br_18,98665998
QBOT,br_19,103411316
QBOT,br_20,107512264
QBOT,br_21,111175695
QBOT,br_22,114974548
SHFLX,orig,131373812
SHFLX,br_1,23019081
SHFLX,br_2,27530346
SHFLX,br_3,32283696
SHFLX,br_4,37405752
SHFLX,br_5,41644212
SHFLX,br_6,46259771
SHFLX,br_7,51862395
SHFLX,br_8,61087435
SHFLX,br_9,66622769
SHFLX,br_10,69722451
SHFLX,br_11,74743446
SHFLX,br_12,79509430
SHFLX,br_13,82770965
SHFLX,br_14,87988127
SHFLX,br_15,92365755
SHFLX,br_16,102080900
SHFLX,br_17,106144651
SHFLX,br_18,110783463
SHFLX,br_19,115635478
SHFLX,br_20,119835300
SHFLX,br_21,123450319
SHFLX,br_22,127363121
so4_a1_SRF,orig,128623449
so4_a1_SRF,br_1,20535522
so4_a1_SRF,br_2,25072665
so4_a1_SRF,br_3,29955766
so4_a1_SRF,br_4,35300582
so4_a1_SRF,br_5,39217069
so4_a1_SRF,br_6,43789133
so4_a1_SRF,br_7,49215005
so4_a1_SRF,br_8,58424490
so4_a1_SRF,br_9,63806300
so4_a1_SRF,br_10,66974641
so4_a1_SRF,br_11,71948807
so4_a1_SRF,br_12,76573678
so4_a1_SRF,br_13,79993549
so4_a1_SRF,br_14,85024428
so4_a1_SRF,br_15,89494191
so4_a1_SRF,br_16,99045511
so4_a1_SRF,br_17,103368469
so4_a1_SRF,br_18,107691823
so4_a1_SRF,br_19,112501918
so4_a1_SRF,br_20,116767682
so4_a1_SRF,br_21,120347813
so4_a1_SRF,br_22,124523210
so4_a2_SRF,orig,128943112
so4_a2_SRF,br_1,20998903
so4_a2_SRF,br_2,25646964
so4_a2_SRF,br_3,30623978
so4_a2_SRF,br_4,35931473
so4_a2_SRF,br_5,39938508
so4_a2_SRF,br_6,44004344
so4_a2_SRF,br_7,49675188
so4_a2_SRF,br_8,58919132
so4_a2_SRF,br_9,64290854
so4_a2_SRF,br_10,67486486
so4_a2_SRF,br_11,72468211
so4_a2_SRF,br_12,77048453
so4_a2_SRF,br_13,80471528
so4_a2_SRF,br_14,85505090
so4_a2_SRF,br_15,89961160
so4_a2_SRF,br_16,99525801
so4_a2_SRF,br_17,103707061
so4_a2_SRF,br_18,108177211
so4_a2_SRF,br_19,112993861
so4_a2_SRF,br_20,117245419
so4_a2_SRF,br_21,120846041
so4_a2_SRF,br_22,124865904
so4_a3_SRF,orig,128935287
so4_a3_SRF,br_1,20891729
so4_a3_SRF,br_2,25425568
so4_a3_SRF,br_3,30310833
so4_a3_SRF,br_4,35632701
so4_a3_SRF,br_5,39585118
so4_a3_SRF,br_6,44081449
so4_a3_SRF,br_7,49532745
so4_a3_SRF,br_8,58732646
so4_a3_SRF,br_9,64130205
so4_a3_SRF,br_10,67275993
so4_a3_SRF,br_11,72240621
so4_a3_SRF,br_12,76887426
so4_a3_SRF,br_13,80299950
so4_a3_SRF,br_14,85345924
so4_a3_SRF,br_15,89813360
so4_a3_SRF,br_16,99354903
so4_a3_SRF,br_17,103671237
so4_a3_SRF,br_18,107996928
so4_a3_SRF,br_19,112807276
so4_a3_SRF,br_20,117074343
so4_a3_SRF,br_21,120654796
so4_a3_SRF,br_22,124821147
soa_a1_SRF,orig,131418187
soa_a1_SRF,br_1,24546030
soa_a1_SRF,br_2,29307167
soa_a1_SRF,br_3,34169891
soa_a1_SRF,br_4,38999813
soa_a1_SRF,br_5,43327783
soa_a1_SRF,br_6,47141667
soa_a1_SRF,br_7,52557146
soa_a1_SRF,br_8,61762024
soa_a1_SRF,br_9,67105295
soa_a1_SRF,br_10,70322724
soa_a1_SRF,br_11,75284396
soa_a1_SRF,br_12,79931622
soa_a1_SRF,br_13,83326059
soa_a1_SRF,br_14,88267796
soa_a1_SRF,br_15,92604578
soa_a1_SRF,br_16,102399957
soa_a1_SRF,br_17,106240526
soa_a1_SRF,br_18,111046628
soa_a1_SRF,br_19,115862236
soa_a1_SRF,br_20,119846875
soa_a1_SRF,br_21,123609047
soa_a1_SRF,br_22,127370437
soa_a2_SRF,orig,134162158
soa_a2_SRF,br_1,27651148
soa_a2_SRF,br_2,32361817
soa_a2_SRF,br_3,37085085
soa_a2_SRF,br_4,41811458
soa_a2_SRF,br_5,45979366
soa_a2_SRF,br_6,50353027
soa_a2_SRF,br_7,55536133
soa_a2_SRF,br_8,64750528
soa_a2_SRF,br_9,69836183
soa_a2_SRF,br_10,73313122
soa_a2_SRF,br_11,78291534
soa_a2_SRF,br_12,82926874
soa_a2_SRF,br_13,86317846
soa_a2_SRF,br_14,91009171
soa_a2_SRF,br_15,95358012
soa_a2_SRF,br_16,105319200
soa_a2_SRF,br_17,108943282
soa_a2_SRF,br_18,113945251
soa_a2_SRF,br_19,118656025
soa_a2_SRF,br_20,122622641
soa_a2_SRF,br_21,126362934
soa_a2_SRF,br_22,130087148
T010,orig,83226833
T010,br_1,1874206
T010,br_2,1692482
T010,br_3,2022034
