levels,algs,ratios,variable,times
16,z_hdf5,2.12,PRECC,52
14,z_hdf5,2.54,PRECC,53
14,z_hdf5,2.54,PRECC,54
14,z_hdf5,2.54,PRECC,55
14,z_hdf5,2.54,PRECC,56
16,z_hdf5,2.12,PRECC,57
14,z_hdf5,2.54,PRECC,58
14,z_hdf5,2.54,PRECC,59
16,z_hdf5,2.14,PRECL,0
16,z_hdf5,2.14,PRECL,1
14,z_hdf5,2.57,PRECL,2
14,zfp,1.75,PRECL,3
14,z_hdf5,2.57,PRECL,4
16,z_hdf5,2.14,PRECL,5
16,z_hdf5,2.14,PRECL,6
16,z_hdf5,2.14,PRECL,7
16,z_hdf5,2.14,PRECL,8
16,z_hdf5,2.14,PRECL,9
16,z_hdf5,2.14,PRECL,10
16,z_hdf5,2.14,PRECL,11
14,z_hdf5,2.57,PRECL,12
14,z_hdf5,2.57,PRECL,13
16,z_hdf5,2.14,PRECL,14
16,z_hdf5,2.14,PRECL,15
14,z_hdf5,2.57,PRECL,16
16,z_hdf5,2.14,PRECL,17
14,z_hdf5,2.57,PRECL,18
16,z_hdf5,2.14,PRECL,19
14,z_hdf5,2.57,PRECL,20
16,z_hdf5,2.14,PRECL,21
16,z_hdf5,2.14,PRECL,22
16,z_hdf5,2.14,PRECL,23
16,z_hdf5,2.14,PRECL,24
16,z_hdf5,2.14,PRECL,25
16,z_hdf5,2.14,PRECL,26
14,z_hdf5,2.57,PRECL,27
16,z_hdf5,2.14,PRECL,28
16,z_hdf5,2.14,PRECL,29
16,z_hdf5,2.14,PRECL,30
14,z_hdf5,2.57,PRECL,31
16,z_hdf5,2.14,PRECL,32
16,z_hdf5,2.14,PRECL,33
16,z_hdf5,2.14,PRECL,34
16,z_hdf5,2.14,PRECL,35
16,z_hdf5,2.14,PRECL,36
16,z_hdf5,2.14,PRECL,37
16,z_hdf5,2.14,PRECL,38
14,z_hdf5,2.57,PRECL,39
16,z_hdf5,2.14,PRECL,40
16,z_hdf5,2.14,PRECL,41
16,z_hdf5,2.14,PRECL,42
16,z_hdf5,2.14,PRECL,43
16,z_hdf5,2.14,PRECL,44
16,z_hdf5,2.14,PRECL,45
16,z_hdf5,2.14,PRECL,46
16,z_hdf5,2.14,PRECL,47
16,z_hdf5,2.14,PRECL,48
14,z_hdf5,2.57,PRECL,49
16,z_hdf5,2.14,PRECL,50
14,z_hdf5,2.57,PRECL,51
16,z_hdf5,2.14,PRECL,52
14,z_hdf5,2.57,PRECL,53
16,z_hdf5,2.14,PRECL,54
16,z_hdf5,2.14,PRECL,55
16,z_hdf5,2.14,PRECL,56
14,z_hdf5,2.57,PRECL,57
14,z_hdf5,2.57,PRECL,58
16,z_hdf5,2.14,PRECL,59
24,z_hdf5,1.41,PS,0
22,z_hdf5,1.66,PS,1
24,z_hdf5,1.41,PS,2
24,z_hdf5,1.41,PS,3
22,z_hdf5,1.66,PS,4
22,z_hdf5,1.66,PS,5
24,z_hdf5,1.41,PS,6
24,z_hdf5,1.41,PS,7
24,z_hdf5,1.41,PS,8
24,z_hdf5,1.41,PS,9
22,z_hdf5,1.66,PS,10
22,z_hdf5,1.66,PS,11
24,z_hdf5,1.41,PS,12
22,z_hdf5,1.66,PS,13
24,z_hdf5,1.41,PS,14
22,z_hdf5,1.66,PS,15
24,z_hdf5,1.41,PS,16
24,z_hdf5,1.41,PS,17
24,z_hdf5,1.41,PS,18
24,z_hdf5,1.41,PS,19
22,z_hdf5,1.66,PS,20
24,z_hdf5,1.41,PS,21
24,z_hdf5,1.41,PS,22
24,z_hdf5,1.41,PS,23
24,z_hdf5,1.41,PS,24
22,z_hdf5,1.66,PS,25
24,z_hdf5,1.41,PS,26
24,z_hdf5,1.41,PS,27
24,z_hdf5,1.41,PS,28
24,z_hdf5,1.41,PS,29
22,z_hdf5,1.66,PS,30
24,z_hdf5,1.41,PS,31
22,z_hdf5,1.66,PS,32
24,z_hdf5,1.41,PS,33
24,z_hdf5,1.41,PS,34
24,z_hdf5,1.41,PS,35
24,z_hdf5,1.41,PS,36
24,z_hdf5,1.41,PS,37
22,z_hdf5,1.66,PS,38
26,z_hdf5,1.22,PS,39
24,z_hdf5,1.41,PS,40
24,z_hdf5,1.41,PS,41
24,z_hdf5,1.41,PS,42
24,z_hdf5,1.41,PS,43
24,z_hdf5,1.41,PS,44
24,z_hdf5,1.41,PS,45
24,z_hdf5,1.41,PS,46
22,z_hdf5,1.66,PS,47
24,z_hdf5,1.41,PS,48
22,z_hdf5,1.66,PS,49
24,z_hdf5,1.41,PS,50
22,z_hdf5,1.66,PS,51
22,z_hdf5,1.66,PS,52
24,z_hdf5,1.41,PS,53
24,z_hdf5,1.41,PS,54
24,z_hdf5,1.41,PS,55
22,z_hdf5,1.66,PS,56
24,z_hdf5,1.41,PS,57
24,z_hdf5,1.41,PS,58
24,z_hdf5,1.41,PS,59
16,z_hdf5,2.29,QFLX,0
16,z_hdf5,2.29,QFLX,1
16,z_hdf5,2.29,QFLX,2
16,z_hdf5,2.29,QFLX,3
16,z_hdf5,2.29,QFLX,4
14,z_hdf5,2.80,QFLX,5
14,z_hdf5,2.80,QFLX,6
16,z_hdf5,2.29,QFLX,7
16,z_hdf5,2.29,QFLX,8
14,z_hdf5,2.80,QFLX,9
16,z_hdf5,2.29,QFLX,10
14,z_hdf5,2.80,QFLX,11
16,z_hdf5,2.29,QFLX,12
14,z_hdf5,2.80,QFLX,13
16,z_hdf5,2.29,QFLX,14
16,z_hdf5,2.29,QFLX,15
16,z_hdf5,2.29,QFLX,16
16,z_hdf5,2.29,QFLX,17
16,z_hdf5,2.29,QFLX,18
16,z_hdf5,2.29,QFLX,19
14,z_hdf5,2.80,QFLX,20
16,z_hdf5,2.29,QFLX,21
16,z_hdf5,2.29,QFLX,22
14,z_hdf5,2.80,QFLX,23
14,z_hdf5,2.80,QFLX,24
14,z_hdf5,2.80,QFLX,25
14,z_hdf5,2.80,QFLX,26
16,z_hdf5,2.29,QFLX,27
16,z_hdf5,2.29,QFLX,28
16,z_hdf5,2.29,QFLX,29
16,z_hdf5,2.29,QFLX,30
14,z_hdf5,2.80,QFLX,31
16,z_hdf5,2.29,QFLX,32
14,z_hdf5,2.80,QFLX,33
16,z_hdf5,2.29,QFLX,34
14,z_hdf5,2.80,QFLX,35
4,bg,1.68,QFLX,36
16,z_hdf5,2.29,QFLX,37
16,z_hdf5,2.29,QFLX,38
14,z_hdf5,2.80,QFLX,39
14,z_hdf5,2.80,QFLX,40
16,z_hdf5,2.29,QFLX,41
14,z_hdf5,2.80,QFLX,42
16,z_hdf5,2.29,QFLX,43
16,z_hdf5,2.29,QFLX,44
16,z_hdf5,2.29,QFLX,45
16,z_hdf5,2.29,QFLX,46
14,z_hdf5,2.80,QFLX,47
14,z_hdf5,2.80,QFLX,48
14,z_hdf5,2.80,QFLX,49
16,z_hdf5,2.29,QFLX,50
14,z_hdf5,2.80,QFLX,51
14,z_hdf5,2.80,QFLX,52
16,z_hdf5,2.29,QFLX,53
16,z_hdf5,2.29,QFLX,54
16,z_hdf5,2.29,QFLX,55
16,z_hdf5,2.29,QFLX,56
14,z_hdf5,2.80,QFLX,57
16,z_hdf5,2.29,QFLX,58
14,z_hdf5,2.80,QFLX,59
16,z_hdf5,2.24,SHFLX,0
16,z_hdf5,2.24,SHFLX,1
16,z_hdf5,2.24,SHFLX,2
16,z_hdf5,2.24,SHFLX,3
16,z_hdf5,2.24,SHFLX,4
18,z_hdf5,1.91,SHFLX,5
16,z_hdf5,2.24,SHFLX,6
16,z_hdf5,2.24,SHFLX,7
16,z_hdf5,2.24,SHFLX,8
16,z_hdf5,2.24,SHFLX,9
16,z_hdf5,2.24,SHFLX,10
16,z_hdf5,2.24,SHFLX,11
16,z_hdf5,2.24,SHFLX,12
16,z_hdf5,2.24,SHFLX,13
16,z_hdf5,2.24,SHFLX,14
16,z_hdf5,2.24,SHFLX,15
16,z_hdf5,2.24,SHFLX,16
16,z_hdf5,2.24,SHFLX,17
18,z_hdf5,1.91,SHFLX,18
16,z_hdf5,2.24,SHFLX,19
16,z_hdf5,2.24,SHFLX,20
16,z_hdf5,2.24,SHFLX,21
16,z_hdf5,2.24,SHFLX,22
16,z_hdf5,2.24,SHFLX,23
16,z_hdf5,2.24,SHFLX,24
16,z_hdf5,2.24,SHFLX,25
16,z_hdf5,2.24,SHFLX,26
16,z_hdf5,2.24,SHFLX,27
16,z_hdf5,2.24,SHFLX,28
16,z_hdf5,2.24,SHFLX,29
16,z_hdf5,2.24,SHFLX,30
16,z_hdf5,2.24,SHFLX,31
16,z_hdf5,2.24,SHFLX,32
16,z_hdf5,2.24,SHFLX,33
16,z_hdf5,2.24,SHFLX,34
16,z_hdf5,2.24,SHFLX,35
16,z_hdf5,2.24,SHFLX,36
16,z_hdf5,2.24,SHFLX,37
16,z_hdf5,2.24,SHFLX,38
16,z_hdf5,2.24,SHFLX,39
16,z_hdf5,2.24,SHFLX,40
16,z_hdf5,2.24,SHFLX,41
16,z_hdf5,2.24,SHFLX,42
16,z_hdf5,2.24,SHFLX,43
16,z_hdf5,2.24,SHFLX,44
16,z_hdf5,2.24,SHFLX,45
16,z_hdf5,2.24,SHFLX,46
16,z_hdf5,2.24,SHFLX,47
16,z_hdf5,2.24,SHFLX,48
16,z_hdf5,2.24,SHFLX,49
16,z_hdf5,2.24,SHFLX,50
16,z_hdf5,2.24,SHFLX,51
16,z_hdf5,2.24,SHFLX,52
16,z_hdf5,2.24,SHFLX,53
16,z_hdf5,2.24,SHFLX,54
16,z_hdf5,2.24,SHFLX,55
16,z_hdf5,2.24,SHFLX,56
16,z_hdf5,2.24,SHFLX,57
16,z_hdf5,2.24,SHFLX,58
16,z_hdf5,2.24,SHFLX,59
18,z_hdf5,2.08,TMQ,0
16,z_hdf5,2.54,TMQ,1
16,z_hdf5,2.54,TMQ,2
16,z_hdf5,2.54,TMQ,3
16,z_hdf5,2.54,TMQ,4
16,z_hdf5,2.54,TMQ,5
16,z_hdf5,2.54,TMQ,6
16,z_hdf5,2.54,TMQ,7
16,z_hdf5,2.54,TMQ,8
16,z_hdf5,2.54,TMQ,9
16,z_hdf5,2.54,TMQ,10
18,z_hdf5,2.08,TMQ,11
16,z_hdf5,2.54,TMQ,12
16,z_hdf5,2.54,TMQ,13
18,z_hdf5,2.08,TMQ,14
16,z_hdf5,2.54,TMQ,15
16,z_hdf5,2.54,TMQ,16
18,z_hdf5,2.08,TMQ,17
16,z_hdf5,2.54,TMQ,18
16,z_hdf5,2.54,TMQ,19
16,z_hdf5,2.54,TMQ,20
18,z_hdf5,2.08,TMQ,21
16,z_hdf5,2.54,TMQ,22
16,z_hdf5,2.54,TMQ,23
18,z_hdf5,2.08,TMQ,24
16,z_hdf5,2.54,TMQ,25
16,z_hdf5,2.54,TMQ,26
16,z_hdf5,2.54,TMQ,27
16,z_hdf5,2.54,TMQ,28
16,z_hdf5,2.54,TMQ,29
16,z_hdf5,2.54,TMQ,30
18,z_hdf5,2.08,TMQ,31
16,z_hdf5,2.54,TMQ,32
18,z_hdf5,2.08,TMQ,33
16,z_hdf5,2.54,TMQ,34
16,z_hdf5,2.54,TMQ,35
16,z_hdf5,2.54,TMQ,36
16,z_hdf5,2.54,TMQ,37
16,z_hdf5,2.54,TMQ,38
16,z_hdf5,2.54,TMQ,39
16,z_hdf5,2.54,TMQ,40
18,z_hdf5,2.08,TMQ,41
18,z_hdf5,2.08,TMQ,42
16,z_hdf5,2.54,TMQ,43
16,z_hdf5,2.54,TMQ,44
16,z_hdf5,2.54,TMQ,45
4,bg,1.86,TMQ,46
16,z_hdf5,2.54,TMQ,47
16,z_hdf5,2.54,TMQ,48
16,z_hdf5,2.54,TMQ,49
18,z_hdf5,2.08,TMQ,50
16,z_hdf5,2.54,TMQ,51
18,z_hdf5,2.08,TMQ,52
18,z_hdf5,2.08,TMQ,53
16,z_hdf5,2.54,TMQ,54
16,z_hdf5,2.54,TMQ,55
18,z_hdf5,2.08,TMQ,56
16,z_hdf5,2.54,TMQ,57
16,z_hdf5,2.54,TMQ,58
18,z_hdf5,2.08,TMQ,59
22,z_hdf5,1.60,TS,0
22,z_hdf5,1.60,TS,1
22,z_hdf5,1.60,TS,2
22,z_hdf5,1.60,TS,3
22,z_hdf5,1.60,TS,4
22,z_hdf5,1.60,TS,5
24,z_hdf5,1.37,TS,6
22,z_hdf5,1.60,TS,7
22,z_hdf5,1.60,TS,8
22,z_hdf5,1.60,TS,9
22,z_hdf5,1.60,TS,10
22,z_hdf5,1.60,TS,11
22,z_hdf5,1.60,TS,12
22,z_hdf5,1.60,TS,13
22,z_hdf5,1.60,TS,14
22,z_hdf5,1.60,TS,15
20,z_hdf5,1.94,TS,16
22,z_hdf5,1.60,TS,17
22,z_hdf5,1.60,TS,18
22,z_hdf5,1.60,TS,19
22,z_hdf5,1.60,TS,20
22,z_hdf5,1.60,TS,21
22,z_hdf5,1.60,TS,22
22,z_hdf5,1.60,TS,23
22,z_hdf5,1.60,TS,24
22,z_hdf5,1.60,TS,25
22,z_hdf5,1.60,TS,26
22,z_hdf5,1.60,TS,27
22,z_hdf5,1.60,TS,28
22,z_hdf5,1.60,TS,29
5,bg,1.77,TS,30
22,z_hdf5,1.60,TS,31
22,z_hdf5,1.60,TS,32
22,z_hdf5,1.60,TS,33
22,z_hdf5,1.60,TS,34
22,z_hdf5,1.60,TS,35
22,z_hdf5,1.60,TS,36
22,z_hdf5,1.60,TS,37
22,z_hdf5,1.60,TS,38
22,z_hdf5,1.60,TS,39
22,z_hdf5,1.60,TS,40
22,z_hdf5,1.60,TS,41
22,z_hdf5,1.60,TS,42
22,z_hdf5,1.60,TS,43
22,z_hdf5,1.60,TS,44
22,z_hdf5,1.60,TS,45
22,z_hdf5,1.60,TS,46
22,z_hdf5,1.60,TS,47
22,z_hdf5,1.60,TS,48
22,z_hdf5,1.60,TS,49
22,z_hdf5,1.60,TS,50
22,z_hdf5,1.60,TS,51
22,z_hdf5,1.60,TS,52
22,z_hdf5,1.60,TS,53
22,z_hdf5,1.60,TS,54
22,z_hdf5,1.60,TS,55
22,z_hdf5,1.60,TS,56
22,z_hdf5,1.60,TS,57
22,z_hdf5,1.60,TS,58
22,z_hdf5,1.60,TS,59
