AODDUST1   ,ABSORB,ANSNOW
AODDUST2,ANRAIN,AODABS
AODDUST3,AREI,AREL
AODVIS,CCN3,CDNUMC
AQRAIN,CO2,CO2_LND
AQSNOW,CO2_FFF,CO2_OCN
AWNC,ICEFRAC,ICLDIWP
AWNI,ICIMR,ICLDTWP
bc_a1_SRF,ICWMR,LHFLX
BURDENBC       ,IWC,LWCF
BURDENDUST,LANDFRAC,NUMICE
BURDENPOM,OMEGA,NUMLIQ
BURDENSEASALT,PS,OCNFRAC
BURDENSO4        ,SOLIN,OMEGAT
BURDENSOA,SRFRAD,PSL
CLDHGH,TOT_CLD_VISTAU,soa_a2_SRF
CLDICE       ,U10,UQ
CLDLIQ,U,UU
CLDLOW,WGUSTD,WSUB
CLDMED,WSPDSRFMX,Z3
CLDTOT,,
CLOUD,,
DCQ            ,,
dst_a1_SRF,,
dst_a3_SRF,,
DTCOND,,
DTV,,
EXTINCT            ,,
FICE,,
FLDS,,
FLNS,,
FLNSC,,
FLNT,,
FLNTC,,
FLUT          ,,
FLUTC,,
FREQI,,
FREQL,,
FREQR,,
FREQS,,
FSDS,,
FSDSC          ,,
FSNS,,
FSNSC,,
FSNT,,
FSNTC,,
FSNTOA,,
FSNTOAC,,
PBLH,,
PHIS,,
pom_a1_SRF,,
PRECC         ,,
PRECL,,
PRECSC,,
PRECSL,,
Q,,
QFLX,,
QRL             ,,
QRS,,
RELHUM,,
SFCO2,,
SFCO2_FFF,,
SFCO2_LND,,
SFCO2_OCN,,
SHFLX,,
SNOWHICE,,
SNOWHLND,,
so4_a1_SRF,,
so4_a2_SRF      ,,
so4_a3_SRF,,
soa_a1_SRF,,
SWCF,,
T,,
TAUX,,
TAUY,,
TGCLDIWP,,
TGCLDLWP,,
TMCO2           ,,
TMCO2_FFF,,
TMCO2_LND,,
TMCO2_OCN,,
TMQ,,
TREFHT,,
TREFHTMN,,
TREFHTMX,,
TROP_P,,
TROP_T,,
TS            ,,
TSMN,,
TSMX,,
V,,
VD01,,
VQ             ,,
VT,,
VU,,
VV,,