set,time,ssim_fp
bg_2_TS,0,0.4283674575403392
bg_3_TS,0,0.9139997321066553
bg_4_TS,0,0.9933269522860548
bg_5_TS,0,0.999259520850053
bg_6_TS,0,0.9999398265321505
bg_7_TS,0,1.0
bg_2_TS,1,0.42811756784829413
bg_3_TS,1,0.9108076615387146
bg_4_TS,1,0.9930542871793602
bg_5_TS,1,0.9989841452943076
bg_6_TS,1,0.9998684061529152
bg_7_TS,1,1.0
bg_2_TS,2,0.4280491239675537
bg_3_TS,2,0.9070151952470569
bg_4_TS,2,0.993372055546159
bg_5_TS,2,0.9991291324179521
bg_6_TS,2,0.9998399420777722
bg_7_TS,2,1.0
bg_2_TS,3,0.4324407788410809
bg_3_TS,3,0.9041300406746077
bg_4_TS,3,0.9916227976886098
bg_5_TS,3,0.9988904067702101
bg_6_TS,3,0.9998347797149747
bg_7_TS,3,1.0
bg_2_TS,4,0.41891782543725237
bg_3_TS,4,0.9013451507846412
bg_4_TS,4,0.9963904600021062
bg_5_TS,4,0.9984481253159326
bg_6_TS,4,0.9998877376076222
bg_7_TS,4,1.0
bg_2_TS,5,0.42004160210008396
bg_3_TS,5,0.8888807026104332
bg_4_TS,5,0.9897366689719896
bg_5_TS,5,0.9985299729566125
bg_6_TS,5,0.9999220812258309
bg_7_TS,5,1.0
bg_2_TS,6,0.4311736951431057
bg_3_TS,6,0.8864874117539155
bg_4_TS,6,0.9897890807914145
bg_5_TS,6,0.9987707774840536
bg_6_TS,6,0.9997109161446641
bg_7_TS,6,1.0
bg_2_TS,7,0.4147628441787536
bg_3_TS,7,0.9059732654467068
bg_4_TS,7,0.9894924517898789
bg_5_TS,7,0.9988907203825097
bg_6_TS,7,0.9999999985290645
bg_7_TS,7,1.0
bg_2_TS,8,0.41472798824951107
bg_3_TS,8,0.910036818492741
bg_4_TS,8,0.9915455542978914
bg_5_TS,8,0.9989683180921011
bg_6_TS,8,0.9998243636192606
bg_7_TS,8,1.0
bg_2_TS,9,0.4482338369828913
bg_3_TS,9,0.9158696683286204
bg_4_TS,9,0.9928329096452123
bg_5_TS,9,0.9991865438430501
bg_6_TS,9,0.999933445441876
bg_7_TS,9,1.0
bg_2_TS,10,0.4360973514045863
bg_3_TS,10,0.9167511404854767
bg_4_TS,10,0.9933537794315483
bg_5_TS,10,0.9991215897772284
bg_6_TS,10,0.999923885462879
bg_7_TS,10,1.0
bg_2_TS,11,0.41937104715459017
bg_3_TS,11,0.9183960614015408
bg_4_TS,11,0.9936436227514378
bg_5_TS,11,0.9989986831763933
bg_6_TS,11,0.9999049199936011
bg_7_TS,11,1.0
bg_2_TS,12,0.43041889125260846
bg_3_TS,12,0.9162108439481524
bg_4_TS,12,0.9933553661913435
bg_5_TS,12,0.9993233512846522
bg_6_TS,12,0.9998675558898025
bg_7_TS,12,1.0
bg_2_TS,13,0.4258773173679741
bg_3_TS,13,0.9172607122571438
bg_4_TS,13,0.9934786585249803
bg_5_TS,13,0.999160097143823
bg_6_TS,13,0.9998428937333899
bg_7_TS,13,1.0
bg_2_TS,14,0.4290994151985446
bg_3_TS,14,0.9065301474924666
bg_4_TS,14,0.990533012139111
bg_5_TS,14,0.9990632994291526
bg_6_TS,14,0.999898914152826
bg_7_TS,14,1.0
bg_2_TS,15,0.42462540942274446
bg_3_TS,15,0.9111214828279967
bg_4_TS,15,0.9924848818711169
bg_5_TS,15,0.998981901880573
bg_6_TS,15,0.9998846619367174
bg_7_TS,15,1.0
bg_2_TS,16,0.42081387110261204
bg_3_TS,16,0.9088408807816922
bg_4_TS,16,0.9926051212344349
bg_5_TS,16,0.9990921800732218
bg_6_TS,16,0.9998862320734623
bg_7_TS,16,1.0
bg_2_TS,17,0.41673088298136296
bg_3_TS,17,0.8961940617039162
bg_4_TS,17,0.988225270886863
bg_5_TS,17,0.9982970781213659
bg_6_TS,17,0.9998511172579002
bg_7_TS,17,1.0
bg_2_TS,18,0.4362724725986621
bg_3_TS,18,0.8991578773013948
bg_4_TS,18,0.9912217569910385
bg_5_TS,18,0.9990083222362929
bg_6_TS,18,0.9998564875291982
bg_7_TS,18,1.0
bg_2_TS,19,0.4200849113762735
bg_3_TS,19,0.9012296063168509
bg_4_TS,19,0.991453130414819
bg_5_TS,19,0.9986947948769466
bg_6_TS,19,0.99981732529199
bg_7_TS,19,1.0
bg_2_TS,20,0.422182541539724
bg_3_TS,20,0.9111436379210291
bg_4_TS,20,0.992300094869914
bg_5_TS,20,0.9992972901396837
bg_6_TS,20,0.9998917360771431
bg_7_TS,20,1.0
bg_2_TS,21,0.45230408190535215
bg_3_TS,21,0.9175285442603095
bg_4_TS,21,0.993994406852438
bg_5_TS,21,0.9991594772017441
bg_6_TS,21,0.999925789670571
bg_7_TS,21,1.0
bg_2_TS,22,0.4309712489674885
bg_3_TS,22,0.9370150168056348
bg_4_TS,22,0.9931722067118481
bg_5_TS,22,0.9991640728825274
bg_6_TS,22,0.9999317826992465
bg_7_TS,22,1.0
bg_2_TS,23,0.4177280868402145
bg_3_TS,23,0.9170520444932143
bg_4_TS,23,0.9925872294361628
bg_5_TS,23,0.9993695557132222
bg_6_TS,23,0.9998847918352337
bg_7_TS,23,1.0
bg_2_TS,24,0.4207386682384585
bg_3_TS,24,0.9182787698417817
bg_4_TS,24,0.9943611974241645
bg_5_TS,24,0.9992151287394935
bg_6_TS,24,0.9998870993153489
bg_7_TS,24,1.0
bg_2_TS,25,0.41962744497918114
bg_3_TS,25,0.9057245056674293
bg_4_TS,25,0.9927619723036631
bg_5_TS,25,0.9991733154866009
bg_6_TS,25,0.9998569767744356
bg_7_TS,25,1.0
bg_2_TS,26,0.4192446342061888
bg_3_TS,26,0.9091227345893897
bg_4_TS,26,0.9911433979870093
bg_5_TS,26,0.9991215086282131
bg_6_TS,26,0.9999028349062044
bg_7_TS,26,1.0
bg_2_TS,27,0.4234282444541864
bg_3_TS,27,0.9038023465429433
bg_4_TS,27,0.9913414875834082
bg_5_TS,27,0.9990777475314762
bg_6_TS,27,0.9997933604618947
bg_7_TS,27,1.0
bg_2_TS,28,0.418554998530753
bg_3_TS,28,0.8945097325244356
bg_4_TS,28,0.9898403554236825
bg_5_TS,28,0.9986172621018127
bg_6_TS,28,0.9998513368968088
bg_7_TS,28,1.0
bg_2_TS,29,0.4216028056977796
bg_3_TS,29,0.8854261195920953
bg_4_TS,29,0.9880957219375307
bg_5_TS,29,0.998301078017376
bg_6_TS,29,0.9999023751684897
bg_7_TS,29,1.0
bg_2_TS,30,0.43050431138884765
bg_3_TS,30,0.8835575197360932
bg_4_TS,30,0.9867907917522554
bg_5_TS,30,0.9984416031852497
bg_6_TS,30,0.9998399844072393
bg_7_TS,30,1.0
bg_2_TS,31,0.41655836958281134
bg_3_TS,31,0.894581109271057
bg_4_TS,31,0.9893252651717684
bg_5_TS,31,0.9984558757259475
bg_6_TS,31,0.9998265276956377
bg_7_TS,31,1.0
bg_2_TS,32,0.42135744423534516
bg_3_TS,32,0.9056655829033353
bg_4_TS,32,0.9922061373149222
bg_5_TS,32,0.9988714992182298
bg_6_TS,32,0.9998580010329837
bg_7_TS,32,1.0
bg_2_TS,0,0.4283674575403392
bg_3_TS,0,0.9139997321066553
bg_4_TS,0,0.9933269522860548
bg_5_TS,0,0.999259520850053
bg_6_TS,0,0.9999398265321505
bg_7_TS,0,1.0
bg_2_TS,1,0.42811756784829413
bg_3_TS,1,0.9108076615387146
bg_4_TS,1,0.9930542871793602
bg_5_TS,1,0.9989841452943076
bg_6_TS,1,0.9998684061529152
bg_7_TS,1,1.0
bg_2_TS,2,0.4280491239675537
bg_3_TS,2,0.9070151952470569
bg_4_TS,2,0.993372055546159
bg_5_TS,2,0.9991291324179521
bg_6_TS,2,0.9998399420777722
bg_7_TS,2,1.0
bg_2_TS,3,0.4324407788410809
bg_3_TS,3,0.9041300406746077
bg_4_TS,3,0.9916227976886098
bg_5_TS,3,0.9988904067702101
bg_6_TS,3,0.9998347797149747
bg_7_TS,3,1.0
bg_2_TS,4,0.41891782543725237
bg_3_TS,4,0.9013451507846412
bg_4_TS,4,0.9963904600021062
bg_5_TS,4,0.9984481253159326
bg_6_TS,4,0.9998877376076222
bg_7_TS,4,1.0
bg_2_TS,5,0.42004160210008396
bg_3_TS,5,0.8888807026104332
bg_4_TS,5,0.9897366689719896
bg_5_TS,5,0.9985299729566125
bg_6_TS,5,0.9999220812258309
bg_7_TS,5,1.0
bg_2_TS,6,0.4311736951431057
bg_3_TS,6,0.8864874117539155
bg_4_TS,6,0.9897890807914145
bg_5_TS,6,0.9987707774840536
bg_6_TS,6,0.9997109161446641
bg_7_TS,6,1.0
bg_2_TS,7,0.4147628441787536
bg_3_TS,7,0.9059732654467068
bg_4_TS,7,0.9894924517898789
bg_5_TS,7,0.9988907203825097
bg_6_TS,7,0.9999999985290645
bg_7_TS,7,1.0
bg_2_TS,0,0.4283674575403392
bg_3_TS,0,0.9139997321066553
bg_4_TS,0,0.9933269522860548
bg_5_TS,0,0.999259520850053
bg_6_TS,0,0.9999398265321505
bg_7_TS,0,1.0
bg_2_TS,1,0.42811756784829413
bg_3_TS,1,0.9108076615387146
bg_4_TS,1,0.9930542871793602
bg_5_TS,1,0.9989841452943076
bg_6_TS,1,0.9998684061529152
bg_7_TS,1,1.0
bg_2_TS,2,0.4280491239675537
bg_3_TS,2,0.9070151952470569
bg_4_TS,2,0.993372055546159
bg_5_TS,2,0.9991291324179521
bg_6_TS,2,0.9998399420777722
bg_7_TS,2,1.0
bg_2_TS,3,0.4324407788410809
bg_3_TS,3,0.9041300406746077
bg_4_TS,3,0.9916227976886098
bg_5_TS,3,0.9988904067702101
bg_6_TS,3,0.9998347797149747
bg_7_TS,3,1.0
bg_2_TS,4,0.41891782543725237
bg_3_TS,4,0.9013451507846412
bg_4_TS,4,0.9963904600021062
bg_5_TS,4,0.9984481253159326
bg_6_TS,4,0.9998877376076222
bg_7_TS,4,1.0
bg_2_TS,5,0.42004160210008396
bg_3_TS,5,0.8888807026104332
bg_4_TS,5,0.9897366689719896
bg_5_TS,5,0.9985299729566125
bg_6_TS,5,0.9999220812258309
bg_7_TS,5,1.0
bg_2_TS,6,0.4311736951431057
bg_3_TS,6,0.8864874117539155
bg_4_TS,6,0.9897890807914145
bg_5_TS,6,0.9987707774840536
bg_6_TS,6,0.9997109161446641
bg_7_TS,6,1.0
bg_2_TS,7,0.4147628441787536
bg_3_TS,7,0.9059732654467068
bg_4_TS,7,0.9894924517898789
bg_5_TS,7,0.9988907203825097
bg_6_TS,7,0.9999999985290645
bg_7_TS,7,1.0
bg_2_TS,8,0.41472798824951107
bg_3_TS,8,0.910036818492741
bg_4_TS,8,0.9915455542978914
bg_5_TS,8,0.9989683180921011
bg_6_TS,8,0.9998243636192606
bg_7_TS,8,1.0
bg_2_TS,9,0.4482338369828913
bg_3_TS,9,0.9158696683286204
bg_4_TS,9,0.9928329096452123
bg_5_TS,9,0.9991865438430501
bg_6_TS,9,0.999933445441876
bg_7_TS,9,1.0
bg_2_TS,10,0.4360973514045863
bg_3_TS,10,0.9167511404854767
bg_4_TS,10,0.9933537794315483
bg_5_TS,10,0.9991215897772284
bg_6_TS,10,0.999923885462879
bg_7_TS,10,1.0
bg_2_TS,11,0.41937104715459017
bg_3_TS,11,0.9183960614015408
bg_4_TS,11,0.9936436227514378
bg_5_TS,11,0.9989986831763933
bg_6_TS,11,0.9999049199936011
bg_7_TS,11,1.0
bg_2_TS,12,0.43041889125260846
bg_3_TS,12,0.9162108439481524
bg_4_TS,12,0.9933553661913435
bg_5_TS,12,0.9993233512846522
bg_6_TS,12,0.9998675558898025
bg_7_TS,12,1.0
bg_2_TS,13,0.4258773173679741
bg_3_TS,13,0.9172607122571438
bg_4_TS,13,0.9934786585249803
bg_5_TS,13,0.999160097143823
bg_6_TS,13,0.9998428937333899
bg_7_TS,13,1.0
bg_2_TS,14,0.4290994151985446
bg_3_TS,14,0.9065301474924666
bg_4_TS,14,0.990533012139111
bg_5_TS,14,0.9990632994291526
bg_6_TS,14,0.999898914152826
bg_7_TS,14,1.0
bg_2_TS,15,0.42462540942274446
bg_3_TS,15,0.9111214828279967
bg_4_TS,15,0.9924848818711169
bg_5_TS,15,0.998981901880573
bg_6_TS,15,0.9998846619367174
bg_7_TS,15,1.0
bg_2_TS,16,0.42081387110261204
bg_3_TS,16,0.9088408807816922
bg_4_TS,16,0.9926051212344349
bg_5_TS,16,0.9990921800732218
bg_6_TS,16,0.9998862320734623
bg_7_TS,16,1.0
bg_2_TS,17,0.41673088298136296
bg_3_TS,17,0.8961940617039162
bg_4_TS,17,0.988225270886863
bg_5_TS,17,0.9982970781213659
bg_6_TS,17,0.9998511172579002
bg_7_TS,17,1.0
bg_2_TS,18,0.4362724725986621
bg_3_TS,18,0.8991578773013948
bg_4_TS,18,0.9912217569910385
bg_5_TS,18,0.9990083222362929
bg_6_TS,18,0.9998564875291982
bg_7_TS,18,1.0
bg_2_TS,19,0.4200849113762735
bg_3_TS,19,0.9012296063168509
bg_4_TS,19,0.991453130414819
bg_5_TS,19,0.9986947948769466
bg_6_TS,19,0.99981732529199
bg_7_TS,19,1.0
bg_2_TS,20,0.422182541539724
bg_3_TS,20,0.9111436379210291
bg_4_TS,20,0.992300094869914
bg_5_TS,20,0.9992972901396837
bg_6_TS,20,0.9998917360771431
bg_7_TS,20,1.0
bg_2_TS,21,0.45230408190535215
bg_3_TS,21,0.9175285442603095
bg_4_TS,21,0.993994406852438
bg_5_TS,21,0.9991594772017441
bg_6_TS,21,0.999925789670571
bg_7_TS,21,1.0
bg_2_TS,22,0.4309712489674885
bg_3_TS,22,0.9370150168056348
bg_4_TS,22,0.9931722067118481
bg_5_TS,22,0.9991640728825274
bg_6_TS,22,0.9999317826992465
bg_7_TS,22,1.0
bg_2_TS,23,0.4177280868402145
bg_3_TS,23,0.9170520444932143
bg_4_TS,23,0.9925872294361628
bg_5_TS,23,0.9993695557132222
bg_6_TS,23,0.9998847918352337
bg_7_TS,23,1.0
bg_2_TS,24,0.4207386682384585
bg_3_TS,24,0.9182787698417817
bg_4_TS,24,0.9943611974241645
bg_5_TS,24,0.9992151287394935
bg_6_TS,24,0.9998870993153489
bg_7_TS,24,1.0
bg_2_TS,25,0.41962744497918114
bg_2_TS,0,0.4283674575403392
bg_3_TS,0,0.9139997321066553
bg_4_TS,0,0.9933269522860548
bg_5_TS,0,0.999259520850053
bg_6_TS,0,0.9999398265321505
bg_7_TS,0,1.0
bg_2_TS,1,0.42811756784829413
bg_3_TS,1,0.9108076615387146
bg_4_TS,1,0.9930542871793602
bg_5_TS,1,0.9989841452943076
bg_6_TS,1,0.9998684061529152
bg_7_TS,1,1.0
bg_2_TS,2,0.4280491239675537
bg_3_TS,2,0.9070151952470569
bg_4_TS,2,0.993372055546159
bg_5_TS,2,0.9991291324179521
bg_6_TS,2,0.9998399420777722
bg_7_TS,2,1.0
bg_2_TS,3,0.4324407788410809
bg_3_TS,3,0.9041300406746077
bg_4_TS,3,0.9916227976886098
bg_5_TS,3,0.9988904067702101
bg_6_TS,3,0.9998347797149747
bg_7_TS,3,1.0
bg_2_TS,4,0.41891782543725237
bg_3_TS,4,0.9013451507846412
bg_4_TS,4,0.9963904600021062
bg_5_TS,4,0.9984481253159326
bg_6_TS,4,0.9998877376076222
bg_7_TS,4,1.0
bg_2_TS,5,0.42004160210008396
bg_3_TS,5,0.8888807026104332
bg_4_TS,5,0.9897366689719896
bg_5_TS,5,0.9985299729566125
bg_6_TS,5,0.9999220812258309
bg_7_TS,5,1.0
bg_2_TS,6,0.4311736951431057
bg_3_TS,6,0.8864874117539155
bg_4_TS,6,0.9897890807914145
bg_5_TS,6,0.9987707774840536
bg_6_TS,6,0.9997109161446641
bg_7_TS,6,1.0
bg_2_TS,7,0.4147628441787536
bg_3_TS,7,0.9059732654467068
bg_4_TS,7,0.9894924517898789
bg_5_TS,7,0.9988907203825097
bg_6_TS,7,0.9999999985290645
bg_7_TS,7,1.0
bg_2_TS,8,0.41472798824951107
bg_3_TS,8,0.910036818492741
bg_4_TS,8,0.9915455542978914
bg_5_TS,8,0.9989683180921011
bg_6_TS,8,0.9998243636192606
bg_7_TS,8,1.0
bg_2_TS,9,0.4482338369828913
bg_3_TS,9,0.9158696683286204
bg_4_TS,9,0.9928329096452123
bg_5_TS,9,0.9991865438430501
bg_6_TS,9,0.999933445441876
bg_7_TS,9,1.0
bg_2_TS,10,0.4360973514045863
bg_3_TS,10,0.9167511404854767
bg_4_TS,10,0.9933537794315483
bg_5_TS,10,0.9991215897772284
bg_6_TS,10,0.999923885462879
bg_7_TS,10,1.0
bg_2_U,0,0.9509608220395571
bg_3_U,0,0.9937713378099936
bg_4_U,0,0.9993091062157624
bg_2_TS,0,0.4283674575403392
bg_3_TS,0,0.9139997321066553
bg_4_TS,0,0.9933269522860548
bg_5_TS,0,0.999259520850053
bg_6_TS,0,0.9999398265321505
bg_7_TS,0,1.0
bg_2_TS,1,0.42811756784829413
bg_3_TS,1,0.9108076615387146
bg_4_TS,1,0.9930542871793602
bg_5_TS,1,0.9989841452943076
bg_6_TS,1,0.9998684061529152
bg_7_TS,1,1.0
bg_2_TS,2,0.4280491239675537
bg_3_TS,2,0.9070151952470569
bg_4_TS,2,0.993372055546159
bg_5_TS,2,0.9991291324179521
bg_6_TS,2,0.9998399420777722
bg_7_TS,2,1.0
bg_2_TS,3,0.4324407788410809
bg_3_TS,3,0.9041300406746077
bg_4_TS,3,0.9916227976886098
bg_5_TS,3,0.9988904067702101
bg_6_TS,3,0.9998347797149747
bg_7_TS,3,1.0
bg_2_TS,4,0.41891782543725237
bg_3_TS,4,0.9013451507846412
bg_4_TS,4,0.9963904600021062
bg_5_TS,4,0.9984481253159326
bg_6_TS,4,0.9998877376076222
bg_7_TS,4,1.0
bg_2_TS,5,0.42004160210008396
bg_3_TS,5,0.8888807026104332
bg_4_TS,5,0.9897366689719896
bg_5_TS,5,0.9985299729566125
bg_6_TS,5,0.9999220812258309
bg_7_TS,5,1.0
bg_2_TS,6,0.4311736951431057
bg_3_TS,6,0.8864874117539155
bg_4_TS,6,0.9897890807914145
bg_5_TS,6,0.9987707774840536
bg_6_TS,6,0.9997109161446641
bg_7_TS,6,1.0
bg_2_TS,7,0.4147628441787536
bg_3_TS,7,0.9059732654467068
bg_4_TS,7,0.9894924517898789
bg_5_TS,7,0.9988907203825097
bg_6_TS,7,0.9999999985290645
bg_7_TS,7,1.0
bg_2_TS,8,0.41472798824951107
bg_3_TS,8,0.910036818492741
bg_4_TS,8,0.9915455542978914
bg_5_TS,8,0.9989683180921011
bg_6_TS,8,0.9998243636192606
bg_7_TS,8,1.0
bg_2_TS,9,0.4482338369828913
bg_3_TS,9,0.9158696683286204
bg_4_TS,9,0.9928329096452123
bg_5_TS,9,0.9991865438430501
bg_6_TS,9,0.999933445441876
bg_7_TS,9,1.0
bg_2_TS,10,0.4360973514045863
bg_3_TS,10,0.9167511404854767
bg_4_TS,10,0.9933537794315483
bg_5_TS,10,0.9991215897772284
bg_6_TS,10,0.999923885462879
bg_7_TS,10,1.0
bg_2_TS,11,0.41937104715459017
bg_3_TS,11,0.9183960614015408
bg_4_TS,11,0.9936436227514378
bg_5_TS,11,0.9989986831763933
bg_6_TS,11,0.9999049199936011
bg_7_TS,11,1.0
bg_2_TS,12,0.43041889125260846
bg_3_TS,12,0.9162108439481524
bg_4_TS,12,0.9933553661913435
bg_5_TS,12,0.9993233512846522
bg_6_TS,12,0.9998675558898025
bg_7_TS,12,1.0
bg_2_TS,13,0.4258773173679741
bg_3_TS,13,0.9172607122571438
bg_4_TS,13,0.9934786585249803
bg_5_TS,13,0.999160097143823
bg_6_TS,13,0.9998428937333899
bg_7_TS,13,1.0
bg_2_TS,14,0.4290994151985446
bg_3_TS,14,0.9065301474924666
bg_4_TS,14,0.990533012139111
bg_5_TS,14,0.9990632994291526
bg_6_TS,14,0.999898914152826
bg_7_TS,14,1.0
bg_2_TS,15,0.42462540942274446
bg_3_TS,15,0.9111214828279967
bg_4_TS,15,0.9924848818711169
bg_5_TS,15,0.998981901880573
bg_6_TS,15,0.9998846619367174
bg_7_TS,15,1.0
bg_2_TS,16,0.42081387110261204
bg_3_TS,16,0.9088408807816922
bg_4_TS,16,0.9926051212344349
bg_5_TS,16,0.9990921800732218
bg_6_TS,16,0.9998862320734623
bg_7_TS,16,1.0
bg_2_TS,17,0.41673088298136296
bg_3_TS,17,0.8961940617039162
bg_4_TS,17,0.988225270886863
bg_5_TS,17,0.9982970781213659
bg_6_TS,17,0.9998511172579002
bg_7_TS,17,1.0
bg_2_TS,18,0.4362724725986621
bg_3_TS,18,0.8991578773013948
bg_4_TS,18,0.9912217569910385
bg_5_TS,18,0.9990083222362929
bg_6_TS,18,0.9998564875291982
bg_7_TS,18,1.0
bg_2_TS,19,0.4200849113762735
bg_3_TS,19,0.9012296063168509
bg_4_TS,19,0.991453130414819
bg_5_TS,19,0.9986947948769466
bg_6_TS,19,0.99981732529199
bg_7_TS,19,1.0
bg_2_TS,20,0.422182541539724
bg_3_TS,20,0.9111436379210291
bg_4_TS,20,0.992300094869914
bg_5_TS,20,0.9992972901396837
bg_6_TS,20,0.9998917360771431
bg_7_TS,20,1.0
bg_2_TS,21,0.45230408190535215
bg_3_TS,21,0.9175285442603095
bg_4_TS,21,0.993994406852438
bg_5_TS,21,0.9991594772017441
bg_6_TS,21,0.999925789670571
bg_7_TS,21,1.0
bg_2_TS,22,0.4309712489674885
bg_3_TS,22,0.9370150168056348
bg_4_TS,22,0.9931722067118481
bg_5_TS,22,0.9991640728825274
bg_6_TS,22,0.9999317826992465
bg_7_TS,22,1.0
bg_2_TS,23,0.4177280868402145
bg_3_TS,23,0.9170520444932143
bg_4_TS,23,0.9925872294361628
bg_5_TS,23,0.9993695557132222
bg_6_TS,23,0.9998847918352337
bg_7_TS,23,1.0
bg_2_TS,24,0.4207386682384585
bg_3_TS,24,0.9182787698417817
bg_4_TS,24,0.9943611974241645
bg_5_TS,24,0.9992151287394935
bg_6_TS,24,0.9998870993153489
bg_7_TS,24,1.0
bg_2_TS,25,0.41962744497918114
bg_3_TS,25,0.9057245056674293
bg_4_TS,25,0.9927619723036631
bg_5_TS,25,0.9991733154866009
bg_6_TS,25,0.9998569767744356
bg_7_TS,25,1.0
bg_2_TS,26,0.4192446342061888
bg_3_TS,26,0.9091227345893897
bg_4_TS,26,0.9911433979870093
bg_5_TS,26,0.9991215086282131
bg_6_TS,26,0.9999028349062044
bg_7_TS,26,1.0
bg_2_TS,27,0.4234282444541864
bg_3_TS,27,0.9038023465429433
bg_4_TS,27,0.9913414875834082
bg_5_TS,27,0.9990777475314762
bg_6_TS,27,0.9997933604618947
bg_7_TS,27,1.0
bg_2_TS,28,0.418554998530753
bg_3_TS,28,0.8945097325244356
bg_4_TS,28,0.9898403554236825
bg_5_TS,28,0.9986172621018127
bg_6_TS,28,0.9998513368968088
bg_7_TS,28,1.0
bg_2_TS,29,0.4216028056977796
bg_3_TS,29,0.8854261195920953
zfp_p_20_TS,0,1.0
zfp_p_20_TS,1,1.0
zfp_p_20_TS,2,1.0
zfp_p_20_TS,3,1.0
zfp_p_20_TS,4,1.0
zfp_p_20_TS,5,1.0
zfp_p_20_TS,6,1.0
zfp_p_20_TS,7,1.0
zfp_p_20_TS,8,1.0
zfp_p_20_TS,9,1.0
zfp_p_20_TS,10,1.0
zfp_p_20_TS,11,1.0
zfp_p_20_TS,12,1.0
zfp_p_20_TS,13,1.0
zfp_p_20_TS,14,1.0
zfp_p_20_TS,15,1.0
zfp_p_20_TS,16,1.0
zfp_p_20_TS,17,1.0
zfp_p_20_TS,18,1.0
zfp_p_20_TS,19,1.0
zfp_p_20_TS,20,1.0
zfp_p_20_TS,21,1.0
zfp_p_20_TS,22,1.0
zfp_p_20_TS,23,1.0
zfp_p_20_TS,24,1.0
zfp_p_20_TS,25,1.0
zfp_p_20_TS,0,1.0
zfp_p_20_TS,1,1.0
zfp_p_20_TS,2,1.0
zfp_p_20_TS,3,1.0
